,orig.model,orig.decay,orig.temp,orig.ter,alpha,temp,ter,elab.LL,med.LL,best.model,diff.LL
0,Elaborative,1.0041567679971437,0.7615949318722672,1.4981379525184477,0.010026268477356434,1.9999866863738065,1.9999999991009738,-192.3504514286763,-167.14901933670245,Mediator,25.201432091973857
1,Elaborative,0.16660403035565066,0.9217791580831722,1.575626629263809,0.01002626849888928,1.9999837195827306,1.9999999990570267,-97.0294185900498,-140.41036307130497,Elaborative,-43.38094448125517
2,Mediator,0.4409061314599523,0.3805103324569499,0.8874595055041772,0.010026268485021585,1.999985683663622,1.9999999990853297,-154.81570351342882,-160.04932272268903,Elaborative,-5.233619209260212
3,Mediator,0.2810558449958807,0.5398128389422261,0.26998095112237747,0.010026268153473336,1.9999995115330789,1.9999999997619948,-109.21917686823818,-133.22864254140003,Elaborative,-24.009465673161856
