,Participant,elab.decay,elab.temp,elab.ter,elab.LL,med.decay,med.temp,med.ter,med.LL,best.model,diff.LL
0,1001.0,0.3383329723709985,0.23744479334777277,0.16459114236531794,-216.19620293136836,1.9999999979470209,0.45604336473638585,1.9999876850420801,-259.2941064963928,Elaborative,-43.09790356502447
1,1002.0,1.999952051446196,0.7368132822907396,1.999955721101463,-301.0567664396945,1.9999851352250684,0.548203324591413,1.9999999986313743,-266.7401142741976,Mediator,34.31665216549692
2,1003.0,1.999952051446196,0.6843435683135665,1.999955721101463,-298.44776168957003,1.9999999979470209,0.47849390899651484,1.9999876850420801,-259.7356295441365,Mediator,38.71213214543354
3,1004.0,1.999952051446196,1.054929172031744,1.999955721101463,-314.80350140508466,1.9999999979470209,0.6008744351183475,1.9999876850420801,-276.1910468152732,Mediator,38.61245458981148
4,1005.0,1.9999999979470209,0.4639382567408045,1.9999876850420801,-268.97320702235766,1.9999999979470209,0.39712616978640947,1.9999876850420801,-234.60637235861589,Mediator,34.36683466374177
5,1006.0,1.9999520291993014,0.6182099180160342,1.9999557062707118,-291.90506917015034,1.9999999979470209,0.4955130357515792,1.9999876850420801,-258.79346971101086,Mediator,33.111599459139484
6,1007.0,1.9999999979470209,0.565061207613345,1.9999876850420801,-285.72701970203747,1.9999999979470209,0.4454232570936782,1.9999876850420801,-248.64368323717773,Mediator,37.08333646485974
7,1008.0,0.41086278182855773,0.20713719309953105,0.12971034225141698,-190.19653990151565,1.9999520291993014,0.41674294007094737,1.9999557062707118,-253.74063245602477,Elaborative,-63.54409255450912
8,1009.0,1.9999520291993014,0.4180402565104911,1.9999557062707118,-264.20671349844264,1.9999999979470209,0.38101892965658957,1.9999876850420801,-235.1787695753405,Mediator,29.02794392310213
9,1010.0,1.9999999979470209,0.40034958441679735,1.9999876850420801,-253.0581616711038,1.9999999979470209,0.37591511900565155,1.9999876850420801,-226.21729964126484,Mediator,26.840862029838945
10,1011.0,1.999952051446196,0.7798576903559236,1.999955721101463,-303.0602707846202,1.9999999979470209,0.5293494210718079,1.9999876850420801,-264.3390621122369,Mediator,38.721208672383284
11,1012.0,0.32353872345479623,0.2508425445136383,0.1851276695049625,-222.45762514400246,1.9999999979470209,0.5152123296482837,1.9999876850420801,-267.2539319525495,Elaborative,-44.79630680854706
12,1013.0,1.999952051446196,0.6435206217933992,1.999955721101463,-295.2834451261743,1.9999999979470209,0.5286917215458622,1.9999876850420801,-264.7792861801927,Mediator,30.5041589459816
13,1014.0,1.999952051446196,0.6591063740033012,1.999955721101463,-297.40490348650883,1.9999999979470209,0.4982842479445403,1.9999876850420801,-263.1610949598559,Mediator,34.24380852665291
14,1015.0,0.18069166501378406,0.45504757938112966,0.16255622770913092,-279.5552698595803,1.9999851352250684,0.9192646245399397,1.9999999986313743,-293.638425093845,Elaborative,-14.083155234264723
15,1016.0,1.999952051446196,0.5332394054187639,1.999955721101463,-287.4930768434641,1.9999999979470209,0.40879012051611197,1.9999876850420801,-250.21075949580433,Mediator,37.282317347659784
